series_id,Name,Category,Subcategory,Commodity,Region,Outfile,AdjFactor
STEO.DSTCPUS.M,"Diesel Fuel Consumption, Monthly",ProductDemandsGUI,none,diesel,US,consumption.csv,1000
STEO.RFTCPUS.M,"Residual Fuel Oil Product Supplied, Monthly",ProductDemandsGUI,none,fueloil,US,consumption.csv,1000
STEO.MGTCPUSX.M,"Motor Gasoline Product Supplied, Monthly",ProductDemandsGUI,none,gasoline,US,consumption.csv,1000
STEO.D2TCPUS.M,"Fuel Oil Consumption, Monthly",ProductDemandsGUI,none,homeheatingoil,US,consumption.csv,1000
STEO.JFTCPUS.M,"Jet Fuel Product Supplied, Monthly",ProductDemandsGUI,none,jetfuel,US,consumption.csv,1000
STEO.PRTCPUS.M,"Propane/Propylene Product Supplied, Monthly",ProductDemandsGUI,none,propane,US,consumption.csv,1000
PET.MO5EX_NUS-Z00_2.M,"U.S. Exports of Conventional Gasoline Blending Components, Monthly",ProductExports,none,CBOBs,US,aPSM_ProductExports.csv,1
PET.MG4EX_NUS-Z00_2.M,"U.S. Exports of Conventional Motor Gasoline, Monthly",ProductExports,none,CFGsout,US,aPSM_ProductExports.csv,1
PET.MCKEXUS2.M,"U.S. Exports of Petroleum Coke, Monthly",ProductExports,none,COKout,US,aPSM_ProductExports.csv,1
PET.MD1EX_NUS-Z00_2.M,"U.S. Exports of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur, Monthly",ProductExports,none,DSLout,US,aPSM_ProductExports.csv,1
PET.M_EPDXL0_EEX_NUS-Z00_MBBLD.M,"U.S. Exports of Distillate Fuel Oil, 0 to 15 ppm Sulfur, Monthly",ProductExports,none,DSUout,US,aPSM_ProductExports.csv,1
PET.M_EPOUK_EEX_NUS-Z00_MBBLD.M,"U.S. Exports of Kerosene and Light Oils, Monthly",ProductExports,none,GOPout,US,aPSM_ProductExports.csv,1
PET.MKJEXUS2.M,"U.S. Exports of Kerosene-Type Jet Fuel, Monthly",ProductExports,none,JTAout,US,aPSM_ProductExports.csv,1
PET.MPREXUS2.M,"U.S. Exports of Propane and Propylene, Monthly",ProductExports,none,LPGout,US,aPSM_ProductExports.csv,1
PET.MLUEXUS2.M,"U.S. Exports of Lubricants, Monthly",ProductExports,none,LUBout,US,aPSM_ProductExports.csv,1
PET.MDGEXUS2.M,"U.S. Exports of Distillate Fuel Oil, Greater Than 500 ppm Sulfur, Monthly",ProductExports,none,N2Hout,US,aPSM_ProductExports.csv,1
PET.MREEXUS2.M,"U.S. Exports of Residual Fuel Oil, Monthly",ProductExports,none,N6Iout,US,aPSM_ProductExports.csv,1
PET.M_EPOUN_EEX_NUS-Z00_MBBLD.M,"U.S. Exports of Naphthas and Lighter, Monthly",ProductExports,none,NAPout,US,aPSM_ProductExports.csv,1
PET.MO1EX_NUS-Z00_2.M,"U.S. Exports of Reformulated Gasoline Blending Components, Monthly",ProductExports,none,RBOBs,US,aPSM_ProductExports.csv,1
PET.M_EPOBGCG_IM0_R50-Z00_2.M,"West Coast (PADD 5) Imports of Conventional GTAB Gasoline Blending Components, Monthly",ProductImports,none,CaRBOBs,PADD5,aPSM_ProductImports.csv,1
PET.M_EPOBGCO_IM0_R50-Z00_2.M,"West Coast (PADD 5) Imports of Conventional Other Gasoline Blending Components, Monthly",ProductImports,none,CaRBOBs,PADD5,aPSM_ProductImports.csv,1
PET.M_EPOBGRR_IM0_R50-Z00_MBBLD.M,"West Coast (PADD V) Imports from  All Countries of Motor Gasoline Blending Components, RBOB, Monthly",ProductImports,none,CaRBOBs,PADD5,aPSM_ProductImports.csv,1
PET.MO5IM_NUS-Z00_2.M,"U.S. Imports of Conventional Gasoline Blending Components, Monthly",ProductImports,none,CBOBs,US,aPSM_ProductImports.csv,1
PET.MG4IM_NUS-Z00_2.M,"U.S. Imports of Conventional Motor Gasoline, Monthly",ProductImports,none,CFGsout,US,aPSM_ProductImports.csv,1
PET.MCMIM_NUS-Z00_2.M,"U.S. Imports of Petroleum Coke Marketable, Monthly",ProductImports,none,COKout,PADD5,aPSM_ProductImports.csv,1
PET.MD1IM_NUS-Z00_2.M,"U.S. Imports of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur, Monthly",ProductImports,none,DSLout,US,aPSM_ProductImports.csv,1
PET.MD0IM_NUS-Z00_2.M,"U.S. Imports of Distillate Fuel Oil, 0 to 15 ppm Sulfur, Monthly",ProductImports,none,DSUout,US,aPSM_ProductImports.csv,1
PET.MUOIMUS2.M,"U.S. Imports of Unfinished Oils, Monthly",ProductImports,none,GO3,US,aPSM_ProductImports.csv,1
PET.MKJIMUS2.M,"U.S. Imports of Kerosene-Type Jet Fuel, Monthly",ProductImports,none,JTAout,US,aPSM_ProductImports.csv,1
PET.MLPIMUS2.M,"U.S. Imports of Liquified Petroleum Gases, Monthly",ProductImports,none,LPGout,US,aPSM_ProductImports.csv,1
PET.MLUIMUS2.M,"U.S. Imports of Lubricants, Monthly",ProductImports,none,LUBout,US,aPSM_ProductImports.csv,1
PET.MD2IM_NUS-Z00_2.M,"U.S. Imports of Distillate Fuel Oil, Greater than 500 to 2000 ppm Sulfur, Monthly",ProductImports,none,N2Hout,US,aPSM_ProductImports.csv,1
PET.MREIMUS2.M,"U.S. Imports of Residual Fuel Oil, Monthly",ProductImports,none,N6Iout,US,aPSM_ProductImports.csv,1
PET.MO1IM_NUS-Z00_2.M,"U.S. Imports of Reformulated Gasoline Blending Components, Monthly",ProductImports,none,RBOBs,US,aPSM_ProductImports.csv,1
PET.MAPSBP11.M,"East Coast (PADD 1) Asphalt and Road Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,ASPHout,PADD1,aPSM_Inventories.csv,1
PET.MAPSBP21.M,"Midwest (PADD 2) Asphalt and Road Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,ASPHout,PADD2,aPSM_Inventories.csv,1
PET.MAPSBP31.M,"Gulf Coast (PADD 3) Asphalt and Road Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,ASPHout,PADD3,aPSM_Inventories.csv,1
PET.MAPSBP41.M,"Rocky Mountain (PADD 4) Asphalt and Road Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,ASPHout,PADD4,aPSM_Inventories.csv,1
PET.MAPSBP51.M,"West Coast (PADD 5) Asphalt and Road Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,ASPHout,PADD5,aPSM_Inventories.csv,1
PET.MGASBP11.M,"East Coast (PADD 1) Aviation Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,AVGout,PADD1,aPSM_Inventories.csv,1
PET.MGASBP21.M,"Midwest (PADD 2) Aviation Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,AVGout,PADD2,aPSM_Inventories.csv,1
PET.MGASBP31.M,"Gulf Coast (PADD 3) Aviation Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,AVGout,PADD3,aPSM_Inventories.csv,1
PET.MGASBP41.M,"Rocky Mountain (PADD 4) Aviation Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,AVGout,PADD4,aPSM_Inventories.csv,1
PET.MGASBP51.M,"West Coast (PADD 5) Aviation Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,AVGout,PADD5,aPSM_Inventories.csv,1
PET.MD0SB_R50_1.M,"West Coast (PADD 5) Distillate Fuel Oil, 0 to 15 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CarbDSUout,PADD5,aPSM_Inventories.csv,1
PET.MO1SB_R50_1.M,"West Coast (PADD 5) Reformulated Gasoline Blending Components Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CaRBOBs,PADD5,aPSM_Inventories.csv,1
PET.MGRSBP51.M,"West Coast (PADD 5) Reformulated Motor Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CaRBOBsout,PADD5,aPSM_Inventories.csv,1
PET.MO5SB_R10_1.M,"East Coast (PADD 1) Conventional Gasoline Blending Components Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CBOBs,PADD1,aPSM_Inventories.csv,1
PET.MO5SB_R20_1.M,"Midwest (PADD 2) Conventional Gasoline Blending Components Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CBOBs,PADD2,aPSM_Inventories.csv,1
PET.MO5SB_R30_1.M,"Gulf Coast (PADD 3) Conventional Gasoline Blending Components Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CBOBs,PADD3,aPSM_Inventories.csv,1
PET.MO5SB_R40_1.M,"Rocky Mountain (PADD 4) Conventional Gasoline Blending Components Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CBOBs,PADD4,aPSM_Inventories.csv,1
PET.MO5SB_R50_1.M,"West Coast (PADD 5) Conventional Gasoline Blending Components Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CBOBs,PADD5,aPSM_Inventories.csv,1
PET.MG4SB_R10_1.M,"East Coast (PADD 1) Conventional Motor Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CFGsout,PADD1,aPSM_Inventories.csv,1
PET.MG4SB_R20_1.M,"Midwest (PADD 2) Conventional Motor Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CFGsout,PADD2,aPSM_Inventories.csv,1
PET.MG4SB_R30_1.M,"Gulf Coast (PADD 3) Conventional Motor Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CFGsout,PADD3,aPSM_Inventories.csv,1
PET.MG4SB_R40_1.M,"Rocky Mountain (PADD 4) Conventional Motor Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CFGsout,PADD4,aPSM_Inventories.csv,1
PET.MG4SB_R50_1.M,"West Coast (PADD 5) Conventional Motor Gasoline Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,CFGsout,PADD5,aPSM_Inventories.csv,1
PET.MD1SB_R10_1.M,"East Coast (PADD 1) Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSLout,PADD1,aPSM_Inventories.csv,1
PET.MD1SB_R20_1.M,"Midwest (PADD 2) Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSLout,PADD2,aPSM_Inventories.csv,1
PET.MD1SB_R30_1.M,"Gulf Coast (PADD 3) Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSLout,PADD3,aPSM_Inventories.csv,1
PET.MD1SB_R40_1.M,"Rocky Mountain (PADD 4) Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,DSLout,PADD4,aPSM_Inventories.csv,1
